date_created,text,favorite_count,retweet_count,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
12/11/2014 8:37,"SUNDEE no sabr  que genera escasez con sus ""patri¢ticas pr cticas""?",1,8,,,,
12/11/2014 8:37,"SUNDEE no sabr  que genera escasez con sus ""patri¢ticas pr cticas""?",1,8,,,,
12/11/2014 8:37,"SUNDEE no sabr  que genera escasez con sus ""patri¢ticas pr cticas""?",1,8,,,,
12/11/2014 18:48,"FAO reconoce avancesVenezuela reducci¢n del hambre mejoras en el salario m¡nimo http:// ow.ly/FJ5UH pic.twitter.com/u9t2ZKTGON ""PELUCON #TROPA",2,9,,,,
12/13/2014 6:29,Persistir  escasez de caf‚ nacional por m s de 4 a¤os.,4,29,,,,
12/13/2014 6:29,Persistir  escasez de caf‚ nacional por m s de 4 a¤os.,4,29,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
